Time,Temp,RH,Fig1v,Fig2v,ELT,e2vO3,e2vNO2,AH,Fig1r,Fig2r,Actd,Acet,Benz,C8,C9,Form,Meth,Tol,CH4,CO,O3,NO2,CO2,T_Plat,RH_Plat,H2S,TimeL
735797.993735532,30.475,24.625,23,22,168,1020,8.75,0.0130253573233821,0.779959482624279,0.862603305785124,0.6345,2.88325,0.05,0.02225,0.02,2.85225,5.86725,0.03125,1.89275,60.3399,56.0575,2.5675,382.17075,24.1725,35.1375,-0.0345,735797.743735532
735797.999976852,30.1375,24.9125,23,22,168,1020,7.875,0.0129153827377609,0.779959482624279,0.862603305785124,0.611,2.86025,0.03975,0.01525,0.01125,2.80125,5.70875,0.033,1.884975,61.8041333333333,56.54,2.6025,382.223,24.005,34.59,-0.06275,735797.749976852
735798.00276331,30.3375,25.0625,23,22,167.875,1020,8.25,0.01310781031908,0.779959482624279,0.862603305785124,0.65275,2.907,0.082,0.0225,0.0185,2.98225,5.72475,0.07475,1.886625,65.964775,56.0675,2.7025,381.86875,24.1,35.1625,-0.20825,735797.75276331
735798.005554109,30.175,25.6625,23,22,168.125,1020,8.75,0.0133097145401523,0.779959482624279,0.862603305785124,0.598333333333333,2.846,0.07775,0.02625,0.0225,2.8235,5.95225,0.07775,1.89145,67.9579,55.1775,2.785,382.64175,24.3125,35.6,-0.0245,735797.755554109
735798.0086875,29.66,25.12,23,22,167.2,1020,7.4,0.0126698580593254,0.779959482624279,0.862603305785124,0.6392,2.8732,0.0696,0.0352,0.0196,2.9186,5.7606,0.0606,1.89542,72.68192,55.908,2.82,384.6116,24.126,34.692,-0.094,735797.7586875
735798.011788194,29.875,25.0875,22.5,22,167.75,1020,8,0.0127902210135602,0.798093133296499,0.862603305785124,0.638,2.8275,0.06625,0.0385,0.02075,3.084,5.69175,0.08975,1.88945,76.20985,55.9475,2.7775,385.32725,24.1975,34.2275,-0.0615,735797.761788194
735798.01458044,29.7125,25,22.375,22,168,1020,7.75,0.0126439102969732,0.80252580346082,0.862603305785124,0.64,2.81725,0.07975,0.05,0.02075,2.79325,5.80525,0.10175,1.905775,80.301225,55.8025,2.5975,386.11025,24.0075,34.5275,0.12,735797.76458044
735798.017715278,29.67,25.14,23,22,168.5,1020,8,0.0126825380530502,0.779959482624279,0.862603305785124,0.6026,2.8078,0.0806,0.0416,0.0196,3.153,5.66925,0.0864,1.9121,83.51516,55.448,2.876,386.035,23.89,34.808,-0.1486,735797.767715278
735798.020815972,29.3125,25.5125,22.75,22,168.125,1020,7.75,0.0125913109554625,0.789026307960389,0.862603305785124,0.5935,2.75275,0.0675,0.03325,0.0205,2.9635,5.749,0.06525,1.89985,85.275,55.32,2.9025,385.67525,24.0575,34.645,-0.0275,735797.770815972
735798.032615741,28.625,26.9,23.375,21.75,168,1020,7.75,0.0127576854069657,0.76740418016417,0.873097861734225,0.5995,2.76975,0.06525,0.0295,0.01925,3.226,6.08675,0.0585,1.908875,91.3963,53.2725,2.8775,383.798,23.87,36.01,-0.06775,735797.782615741
735798.035393518,28.425,27.3,23,21.125,167.5,1020,8,0.0128074764832114,0.779959482624279,0.89921222188664,0.54,2.74175,0.05225,0.01675,0.0193333333333333,2.89125,5.787,0.03475,1.892725,90.6762,53.2075,2.83,384.475,23.9725,35.9925,0.09725,735797.785393518
